Date,Salesperson,Product,Quantity Sold,Total Sales
2024-06-28,Charlie,Product B,4,397.99
2024-06-27,Alice,Product C,18,1382.98
2024-06-27,Alice,Product B,19,1661.93
2024-06-27,Bob,Product A,10,306.64
2024-06-27,Bob,Product A,9,307.9
2024-06-27,David,Product B,10,695.65
2024-06-27,Alice,Product C,5,220.54
2024-06-27,David,Product C,5,318.83
2024-06-27,Charlie,Product A,8,554.03
2024-06-26,Charlie,Product C,10,671.45
2024-06-26,Charlie,Product C,3,36.19
2024-06-26,David,Product A,4,52.71
2024-06-26,Bob,Product A,17,471.6
2024-06-26,Bob,Product C,3,167.15
2024-06-26,Charlie,Product B,17,195.4
2024-06-26,David,Product A,16,1239.01
2024-06-25,Alice,Product C,12,338.86
2024-06-25,Bob,Product A,13,588.59
2024-06-25,Bob,Product A,5,366.97
2024-06-25,Bob,Product B,1,30.85
2024-06-25,Charlie,Product A,12,1010.68
2024-06-24,Alice,Product C,7,475.95
2024-06-24,Alice,Product C,1,32.21
2024-06-24,Alice,Product C,9,413.58
2024-06-24,Alice,Product B,8,189.02
2024-06-24,Charlie,Product A,15,463.73
2024-06-24,David,Product B,2,183.41
2024-06-24,Charlie,Product A,9,353.67
2024-06-24,Charlie,Product B,11,536.07
2024-06-23,Charlie,Product C,2,187.89
2024-06-23,Charlie,Product C,16,842.34
2024-06-23,Charlie,Product B,6,168.26
2024-06-23,Bob,Product A,3,144.87
2024-06-23,Bob,Product A,3,36.57
2024-06-23,David,Product C,9,470.1
2024-06-22,Bob,Product A,16,778.91
2024-06-22,Alice,Product C,18,1752.44
2024-06-22,Charlie,Product C,4,292.28
2024-06-22,David,Product A,15,965.56
2024-06-22,Bob,Product B,13,885.16
2024-06-22,Charlie,Product A,16,461.77
2024-06-22,David,Product A,5,151.48
2024-06-22,David,Product C,19,1377.05
2024-06-22,Charlie,Product C,3,236.77
2024-06-22,Bob,Product C,4,344.66
2024-06-21,David,Product B,5,277.55
2024-06-21,Bob,Product C,16,961.58
2024-06-21,David,Product A,6,249.91
2024-06-21,David,Product C,15,1181.75
2024-06-21,David,Product B,7,558.72
2024-06-21,David,Product A,4,255.24
2024-06-21,Bob,Product B,8,692.71
2024-06-20,David,Product A,11,669.52
2024-06-20,Alice,Product A,2,145.29
2024-06-20,Bob,Product C,15,1201.65
2024-06-20,David,Product B,17,924.73
2024-06-20,David,Product C,18,523.36
2024-06-20,Bob,Product C,20,1100.84
